DateTime,Open,High,Low,Close,Volume
20161013091000 ,23418,23418,23418,23418,408
20161013091500 ,23415,23415,23316,23320,2977
20161013092000 ,23321,23332,23296,23307,1806
20161013092500 ,23307,23313,23284,23290,1711
20161013093000 ,23290,23328,23261,23306,4133
20161013093500 ,23307,23344,23305,23337,2659
20161013094000 ,23337,23338,23281,23310,2674
20161013094500 ,23309,23325,23278,23281,1993
20161013095000 ,23280,23281,23226,23228,3686
20161013095500 ,23228,23237,23210,23226,2824
20161013100000 ,23228,23229,23167,23190,4355
20161013100500 ,23191,23214,23182,23197,2620
20161013101000 ,23198,23198,23120,23133,5652
20161013101500 ,23135,23156,23117,23135,3752
20161013102000 ,23137,23154,23093,23103,3058
20161013102500 ,23101,23110,23078,23099,2986
20161013103000 ,23098,23114,23073,23092,2994
20161013103500 ,23093,23106,23025,23027,3797
20161013104000 ,23028,23039,23013,23026,2685
20161013104500 ,23025,23048,23008,23037,2698
20161013105000 ,23037,23055,23022,23032,1537
20161013105500 ,23034,23042,23019,23031,1454
20161013110000 ,23029,23045,23016,23022,1384
20161013110500 ,23022,23054,23020,23052,1210
20161013111000 ,23052,23056,23036,23043,997
20161013111500 ,23043,23092,23041,23085,2138
20161013112000 ,23085,23086,23068,23086,1079
20161013112500 ,23086,23090,23071,23073,775
20161013113000 ,23071,23077,23062,23065,707
20161013113500 ,23066,23099,23064,23092,1580
20161013114000 ,23091,23105,23079,23098,879
20161013114500 ,23098,23103,23083,23092,678
20161013115000 ,23091,23123,23083,23123,1139
20161013115500 ,23122,23127,23095,23099,875
20161013125500 ,23099,23099,23099,23099,0
20161013130000 ,23099,23108,23069,23093,1509
20161013130500 ,23094,23099,23079,23081,583
20161013131000 ,23083,23092,23079,23088,409
20161013131500 ,23086,23089,23067,23068,661
20161013132000 ,23068,23073,23056,23067,1067
20161013132500 ,23066,23079,23063,23066,580
20161013133000 ,23065,23069,23049,23059,1071
20161013133500 ,23059,23078,23054,23063,801
20161013134000 ,23063,23069,23058,23065,334
20161013134500 ,23066,23067,23049,23064,787
20161013135000 ,23065,23071,23059,23062,597
20161013135500 ,23061,23067,23025,23058,2034
20161013140000 ,23057,23082,23054,23082,939
20161013140500 ,23082,23091,23075,23086,1157
20161013141000 ,23085,23090,23072,23080,933
20161013141500 ,23079,23085,23066,23072,660
20161013142000 ,23072,23072,23000,23003,3876
20161013142500 ,23001,23042,23000,23034,1625
20161013143000 ,23032,23044,23018,23039,943
20161013143500 ,23038,23048,23028,23040,665
20161013144000 ,23039,23045,23022,23025,583
20161013144500 ,23023,23044,23015,23041,732
20161013145000 ,23039,23064,23039,23047,1209
20161013145500 ,23048,23051,23036,23043,505
20161013150000 ,23044,23056,23018,23027,1424
20161013150500 ,23029,23035,23012,23014,1341
20161013151000 ,23015,23022,23000,23014,1537
20161013151500 ,23012,23012,22970,22997,3273
20161013152000 ,22996,23004,22980,22998,1172
20161013152500 ,22998,23005,22981,23002,1191
20161013153000 ,23001,23015,22994,22994,1002
20161013153500 ,22994,23014,22989,23012,928
20161013154000 ,23013,23018,23005,23007,743
20161013154500 ,23008,23026,23006,23018,901
20161013155000 ,23018,23018,22986,22986,1481
20161013155500 ,22987,22990,22948,22955,2784
20161013160000 ,22956,22992,22956,22981,1988
20161013160500 ,22983,22994,22973,22980,1219
20161013161000 ,22981,22998,22980,22990,985
20161013161500 ,22990,22993,22981,22988,381
20161013162000 ,22988,22990,22972,22979,523
20161013162500 ,22978,22979,22940,22941,1078
20161013171500 ,22965,23001,22965,22984,287
20161013172000 ,22988,22988,22969,22975,166
20161013172500 ,22973,22985,22971,22974,128
20161013173000 ,22973,22982,22971,22979,93
20161013173500 ,22980,22994,22978,22989,200
20161013174000 ,22992,22994,22990,22991,85
20161013174500 ,22993,23000,22989,22995,149
20161013175000 ,22996,22996,22977,22977,92
20161013175500 ,22976,22978,22968,22975,141
20161013180000 ,22977,22980,22972,22975,49
20161013180500 ,22973,22973,22961,22965,95
20161013181000 ,22963,22967,22962,22965,30
20161013181500 ,22963,22970,22963,22966,68
20161013182000 ,22968,22971,22964,22964,35
20161013182500 ,22963,22966,22951,22966,92
20161013183000 ,22965,22967,22958,22962,47
20161013183500 ,22962,22964,22955,22955,55
20161013184000 ,22953,22959,22951,22959,34
20161013184500 ,22960,22970,22958,22966,82
20161013185000 ,22967,22967,22963,22965,15
20161013185500 ,22965,22965,22957,22960,35
20161013190000 ,22959,22968,22959,22965,32
20161013190500 ,22965,22977,22965,22976,60
20161013191000 ,22973,22977,22966,22972,46
20161013191500 ,22972,22973,22963,22968,27
20161013192000 ,22968,22970,22964,22964,26
20161013192500 ,22966,22967,22959,22964,81
20161013193000 ,22964,22971,22964,22969,71
20161013193500 ,22966,22968,22963,22963,10
20161013194000 ,22965,22966,22962,22966,25
20161013194500 ,22967,22976,22967,22975,50
20161013195000 ,22973,22985,22973,22981,152
20161013195500 ,22979,22982,22971,22975,59
20161013200000 ,22975,22979,22972,22977,44
20161013200500 ,22977,22977,22971,22974,25
20161013201000 ,22974,22974,22963,22970,60
20161013201500 ,22969,22972,22964,22969,46
20161013202000 ,22967,22969,22952,22958,104
20161013202500 ,22960,22967,22953,22963,62
20161013203000 ,22963,22973,22959,22971,118
20161013203500 ,22965,22967,22956,22965,101
20161013204000 ,22965,22967,22945,22947,144
20161013204500 ,22948,22949,22936,22941,212
20161013205000 ,22938,22945,22926,22942,199
20161013205500 ,22942,22943,22932,22940,100
20161013210000 ,22940,22955,22940,22949,170
20161013210500 ,22949,22950,22944,22948,68
20161013211000 ,22947,22949,22942,22943,52
20161013211500 ,22945,22954,22944,22948,148
20161013212000 ,22949,22955,22946,22953,90
20161013212500 ,22953,22953,22934,22938,163
20161013213000 ,22937,22939,22916,22923,485
20161013213500 ,22922,22925,22894,22904,592
20161013214000 ,22902,22902,22878,22891,530
20161013214500 ,22892,22899,22879,22887,305
20161013215000 ,22885,22886,22856,22860,772
20161013215500 ,22859,22874,22855,22867,447
20161013220000 ,22866,22868,22851,22856,371
20161013220500 ,22854,22879,22846,22879,465
20161013221000 ,22879,22892,22868,22887,233
20161013221500 ,22886,22897,22880,22881,393
20161013222000 ,22883,22903,22879,22898,283
20161013222500 ,22896,22904,22884,22891,243
20161013223000 ,22892,22902,22874,22902,434
20161013223500 ,22903,22926,22901,22921,595
20161013224000 ,22921,22941,22921,22930,380
20161013224500 ,22932,22932,22902,22904,309
20161013225000 ,22906,22920,22901,22911,235
20161013225500 ,22913,22918,22897,22918,195
20161013230000 ,22918,22921,22892,22896,496
20161013230500 ,22895,22908,22890,22908,215
20161013231000 ,22906,22925,22904,22920,244
20161013231500 ,22922,22935,22918,22933,295
20161013232000 ,22935,22966,22932,22965,445
20161013232500 ,22965,22990,22965,22980,624
20161013233000 ,22981,23014,22980,23012,564
20161013233500 ,23014,23019,22998,23001,362
20161013234000 ,23002,23009,22998,23002,260
20161013234500 ,23002,23002,23002,23002,0
20161014091000 ,23084,23084,23084,23084,396
20161014091500 ,23084,23125,23060,23113,2298
20161014092000 ,23113,23130,23103,23115,1684
20161014092500 ,23115,23120,23091,23108,1329
20161014093000 ,23112,23195,23055,23174,6553
